epoch,train_loss,train_acc,val_loss,val_top1_acc,val_top5_acc,lr,epoch_time_s
1,3.343303,0.063499,3.420437,0.058858,0.254114,1.000000e-03,26.91
2,3.300547,0.076301,3.407856,0.061972,0.262268,9.999383e-04,26.63
3,3.278288,0.083080,3.407881,0.059896,0.252483,9.997533e-04,26.72
4,3.263952,0.084724,3.403102,0.057228,0.260934,9.994449e-04,26.81
5,3.249600,0.088303,3.395122,0.065382,0.262268,9.990134e-04,26.84
6,3.233171,0.094348,3.374137,0.064492,0.274277,9.984587e-04,26.89
7,3.209954,0.100949,3.360124,0.067457,0.285545,9.977810e-04,26.91
8,3.181427,0.110906,3.357877,0.072943,0.289251,9.969805e-04,26.84
9,3.153108,0.118107,3.332658,0.080059,0.309563,9.960574e-04,26.91
10,3.114942,0.128353,3.317431,0.079911,0.300667,9.950118e-04,26.94
11,3.080071,0.140066,3.299609,0.089400,0.326612,9.938442e-04,26.94
12,3.039714,0.151268,3.314406,0.087176,0.333877,9.925547e-04,26.90
13,3.004091,0.160314,3.268304,0.100815,0.336546,9.911436e-04,26.92
14,2.970715,0.170271,3.317885,0.089400,0.327205,9.896114e-04,26.88
15,2.929566,0.180695,3.255950,0.103781,0.348258,9.879584e-04,26.94
16,2.897277,0.191897,3.257599,0.103336,0.344700,9.861850e-04,26.88
17,2.855644,0.203654,3.238248,0.106004,0.352409,9.842916e-04,26.94
18,2.821420,0.211544,3.209248,0.119199,0.382209,9.822787e-04,26.93
19,2.788156,0.220968,3.213368,0.120830,0.378799,9.801468e-04,26.87
20,2.744940,0.232325,3.227365,0.114752,0.370348,9.778965e-04,26.88
21,2.703068,0.240482,3.198872,0.124240,0.382654,9.755283e-04,26.92
22,2.666320,0.247705,3.282835,0.110897,0.347813,9.730427e-04,26.86
23,2.629624,0.259440,3.165670,0.133877,0.401927,9.704404e-04,26.92
24,2.590151,0.267019,3.184819,0.130170,0.400297,9.677220e-04,26.86
25,2.552359,0.275132,3.209266,0.120830,0.387991,9.648882e-04,26.92
26,2.516996,0.285822,3.227520,0.123202,0.383840,9.619398e-04,26.91
27,2.473871,0.294201,3.325359,0.116827,0.370793,9.588773e-04,26.92
28,2.433138,0.305092,3.350443,0.126316,0.376575,9.557016e-04,26.92
29,2.390771,0.313093,3.406031,0.124685,0.365308,9.524135e-04,26.90
30,2.344799,0.323584,3.265668,0.132394,0.398517,9.490138e-04,26.91
31,2.294116,0.332229,3.285853,0.124388,0.387991,9.455033e-04,26.92
32,2.257041,0.341098,3.646389,0.124388,0.371238,9.418828e-04,26.91
33,2.201874,0.354944,3.560461,0.099926,0.347961,9.381533e-04,26.90
