epoch,train_loss,train_acc,val_loss,val_top1_acc,val_top5_acc,lr,epoch_time_s
1,3.270033,0.099018,3.338217,0.070030,0.304154,1.000000e-03,303.00
2,3.105125,0.144581,3.336201,0.096588,0.332938,9.999383e-04,195.78
3,2.977097,0.180143,3.217374,0.114985,0.393620,9.997533e-04,195.81
4,2.851557,0.217061,3.195501,0.122849,0.410089,9.994449e-04,195.86
5,2.744493,0.244021,3.104556,0.156677,0.457418,9.990134e-04,195.86
6,2.647751,0.270381,3.018145,0.171513,0.478487,9.984587e-04,195.78
7,2.562471,0.294608,2.927711,0.202819,0.504006,9.977810e-04,195.84
8,2.475837,0.317945,2.891797,0.212166,0.515430,9.969805e-04,195.81
9,2.398472,0.338016,2.896475,0.202522,0.517062,9.960574e-04,195.81
10,2.328992,0.355663,2.829732,0.228932,0.534570,9.950118e-04,195.87
11,2.250757,0.374022,2.837712,0.223739,0.552522,9.938442e-04,195.84
12,2.184725,0.394315,2.819924,0.239318,0.565134,9.925547e-04,195.76
13,2.119752,0.407873,2.829591,0.230712,0.552967,9.911436e-04,195.84
14,2.059957,0.420475,2.796073,0.239466,0.563205,9.896114e-04,195.86
15,1.997321,0.436522,2.832939,0.247923,0.554599,9.879584e-04,195.86
16,1.928405,0.453658,2.836814,0.253116,0.571958,9.861850e-04,195.78
17,1.874934,0.464683,2.808559,0.254748,0.573591,9.842916e-04,195.77
18,1.822445,0.479730,2.907318,0.236202,0.563650,9.822787e-04,195.82
19,1.753967,0.494977,2.934901,0.242582,0.562760,9.801468e-04,195.79
20,1.698545,0.508024,2.861797,0.244807,0.571365,9.778965e-04,195.82
21,1.638744,0.523915,2.893096,0.246291,0.570178,9.755283e-04,195.79
22,1.575670,0.541696,2.846255,0.259792,0.585015,9.730427e-04,195.81
23,1.516695,0.553632,2.959022,0.251780,0.574629,9.704404e-04,195.77
24,1.463810,0.568634,2.892773,0.253561,0.578338,9.677220e-04,195.82
25,1.395943,0.585993,3.005516,0.247181,0.569139,9.648882e-04,195.83
26,1.339409,0.598773,3.051071,0.247774,0.572552,9.619398e-04,195.82
27,1.280441,0.615176,3.088173,0.242730,0.555935,9.588773e-04,195.78
28,1.221883,0.630734,3.083645,0.248516,0.571365,9.557016e-04,195.75
29,1.161122,0.645070,3.277526,0.235757,0.544065,9.524135e-04,195.78
30,1.105654,0.657050,3.164895,0.243323,0.565875,9.490138e-04,195.79
31,1.042540,0.679565,3.417214,0.239614,0.557567,9.455033e-04,195.80
32,0.990802,0.691190,3.550968,0.240208,0.549555,9.418828e-04,195.77
