epoch,train_loss,train_acc,val_loss,val_top1_acc,val_top5_acc,lr,epoch_time_s
1,3.214621,0.110464,3.341595,0.084273,0.309644,1.000000e-03,306.68
2,3.065978,0.149804,3.352612,0.093769,0.327745,9.999383e-04,279.95
3,2.951535,0.186189,3.440667,0.100890,0.333828,9.997533e-04,280.02
4,2.845731,0.219061,3.174617,0.138724,0.412908,9.994449e-04,280.07
5,2.746788,0.243577,3.114537,0.147033,0.440653,9.990134e-04,280.06
6,2.665232,0.265869,3.101133,0.155490,0.448071,9.984587e-04,280.06
7,2.592288,0.283828,3.025063,0.174481,0.470475,9.977810e-04,280.07
8,2.524524,0.301920,3.080516,0.162760,0.471662,9.969805e-04,280.05
9,2.457186,0.316123,3.070632,0.172700,0.481899,9.960574e-04,280.06
10,2.395987,0.333304,2.999442,0.188576,0.490504,9.950118e-04,280.07
11,2.332258,0.351196,3.042555,0.191543,0.478635,9.938442e-04,280.06
12,2.269404,0.365998,3.024184,0.187092,0.500148,9.925547e-04,280.09
13,2.215509,0.379467,2.937114,0.205193,0.530712,9.911436e-04,280.09
14,2.164358,0.390514,2.942580,0.210089,0.515875,9.896114e-04,280.05
15,2.103489,0.406050,2.942682,0.208754,0.523442,9.879584e-04,279.98
16,2.049645,0.420386,2.991021,0.212315,0.525668,9.861850e-04,280.04
17,1.998445,0.432944,2.935425,0.216469,0.529674,9.842916e-04,280.04
18,1.937591,0.444679,2.983869,0.214688,0.530415,9.822787e-04,280.09
19,1.889502,0.454948,3.070286,0.201780,0.515282,9.801468e-04,280.01
20,1.834271,0.469728,2.950042,0.222849,0.550000,9.778965e-04,280.03
21,1.780784,0.481330,3.022581,0.216469,0.532047,9.755283e-04,280.05
22,1.721144,0.497555,3.027830,0.214837,0.516914,9.730427e-04,280.04
23,1.661140,0.513202,3.095449,0.212908,0.539021,9.704404e-04,280.02
24,1.612229,0.523626,3.137015,0.222255,0.528338,9.677220e-04,280.02
25,1.552897,0.535895,3.172994,0.225074,0.523739,9.648882e-04,280.05
26,1.495036,0.552832,3.197855,0.212018,0.516172,9.619398e-04,279.99
27,1.445948,0.563545,3.200047,0.215727,0.536795,9.588773e-04,280.02
28,1.379070,0.582015,3.251661,0.215430,0.521810,9.557016e-04,279.97
29,1.326391,0.592905,3.277330,0.219288,0.507567,9.524135e-04,279.99
30,1.265373,0.611486,3.463772,0.211573,0.514392,9.490138e-04,279.99
31,1.213296,0.622755,3.343464,0.216914,0.532789,9.455033e-04,279.97
32,1.157861,0.638469,3.527702,0.197181,0.502967,9.418828e-04,279.96
33,1.100499,0.656539,3.619845,0.205935,0.508902,9.381533e-04,280.02
34,1.046249,0.669408,3.711402,0.207567,0.505193,9.343158e-04,279.97
35,1.000965,0.680032,3.762588,0.200297,0.495697,9.303710e-04,279.95
