epoch,train_loss,train_acc,val_loss,val_top1_acc,val_top5_acc,lr,epoch_time_s
1,3.239750,0.103596,3.305280,0.087092,0.310831,1.000000e-03,214.33
2,3.061264,0.155228,3.222720,0.114243,0.386053,9.999383e-04,214.91
3,2.925654,0.195568,3.212890,0.126113,0.410237,9.997533e-04,214.89
4,2.815780,0.223040,3.115365,0.151039,0.427596,9.994449e-04,214.94
5,2.712085,0.252889,3.056356,0.161573,0.464837,9.990134e-04,215.00
6,2.620513,0.274849,2.980440,0.186795,0.486944,9.984587e-04,214.95
7,2.533068,0.297653,2.950420,0.196439,0.499407,9.977810e-04,214.94
8,2.451720,0.319123,2.896610,0.209941,0.521958,9.969805e-04,214.92
9,2.370246,0.342194,2.871105,0.216914,0.530564,9.960574e-04,214.87
10,2.303392,0.357730,2.835219,0.232047,0.544807,9.950118e-04,214.89
11,2.231844,0.376711,2.867190,0.231602,0.552671,9.938442e-04,214.89
12,2.163967,0.392625,2.800163,0.236944,0.562018,9.925547e-04,214.96
13,2.107318,0.405561,2.798891,0.249703,0.570920,9.911436e-04,214.96
14,2.044281,0.423053,2.835375,0.237092,0.562463,9.896114e-04,214.92
15,1.989198,0.434455,2.762401,0.252671,0.584421,9.879584e-04,214.95
16,1.926582,0.451658,2.774386,0.257715,0.587389,9.861850e-04,214.98
17,1.866940,0.465372,2.794679,0.243769,0.583680,9.842916e-04,214.90
18,1.809930,0.477396,2.810565,0.249258,0.573591,9.822787e-04,214.92
19,1.754612,0.495799,2.802054,0.256083,0.584718,9.801468e-04,214.93
20,1.698418,0.505734,2.822308,0.254303,0.587537,9.778965e-04,214.92
21,1.643165,0.518248,2.831880,0.258902,0.589021,9.755283e-04,214.97
22,1.586004,0.533917,2.796010,0.269436,0.591098,9.730427e-04,214.92
23,1.534141,0.543941,2.855141,0.263353,0.589763,9.704404e-04,214.91
24,1.470180,0.560900,2.884865,0.260534,0.590950,9.677220e-04,214.96
25,1.410826,0.575702,2.977016,0.254154,0.575816,9.648882e-04,214.94
26,1.350358,0.591616,3.170148,0.238131,0.560386,9.619398e-04,214.92
27,1.298435,0.603263,2.979036,0.265134,0.578487,9.588773e-04,214.92
28,1.240317,0.619688,3.087168,0.252819,0.572552,9.557016e-04,214.91
29,1.180332,0.632690,3.024326,0.273739,0.594659,9.524135e-04,214.88
30,1.126775,0.649338,3.123908,0.255490,0.575964,9.490138e-04,214.91
31,1.067494,0.666807,3.099409,0.261424,0.588279,9.455033e-04,214.96
32,1.022648,0.676565,3.228870,0.253709,0.572255,9.418828e-04,214.95
33,0.963405,0.691345,3.222681,0.257418,0.572700,9.381533e-04,214.91
34,0.910847,0.709904,3.278270,0.253561,0.579525,9.343158e-04,214.91
35,0.870485,0.722062,3.472687,0.236944,0.553858,9.303710e-04,214.92
36,0.815071,0.736975,3.550017,0.239318,0.562760,9.263201e-04,214.90
37,0.780610,0.747244,3.589982,0.241395,0.564688,9.221640e-04,214.90
38,0.730653,0.761824,3.592052,0.242582,0.559941,9.179037e-04,214.91
39,0.686138,0.776316,3.779496,0.244659,0.555193,9.135403e-04,214.94
