epoch,train_loss,train_acc,val_loss,val_top1_acc,val_top5_acc,lr,epoch_time_s
1,3.218985,0.106419,3.336001,0.087982,0.314392,1.000000e-03,223.91
2,3.056300,0.160717,3.225749,0.113947,0.371958,9.999383e-04,222.33
3,2.887329,0.208415,3.155095,0.141098,0.421958,9.997533e-04,222.33
4,2.735249,0.246133,3.055062,0.163205,0.461276,9.994449e-04,222.29
5,2.600769,0.283984,2.958386,0.187834,0.503858,9.990134e-04,222.29
6,2.479520,0.312411,2.994703,0.184866,0.481454,9.984587e-04,222.27
7,2.378391,0.339016,2.822122,0.231454,0.553412,9.977810e-04,222.25
8,2.278458,0.363865,2.801842,0.236202,0.566024,9.969805e-04,222.25
9,2.193069,0.385669,2.819381,0.229377,0.565579,9.960574e-04,222.24
10,2.109190,0.407006,2.731355,0.260979,0.591543,9.950118e-04,222.27
11,2.038640,0.423453,2.798572,0.252967,0.582047,9.938442e-04,222.27
12,1.965886,0.443123,2.734889,0.260089,0.591098,9.925547e-04,222.25
13,1.894455,0.460904,2.741209,0.259347,0.600297,9.911436e-04,222.22
14,1.822071,0.477707,2.703314,0.270178,0.599258,9.896114e-04,222.24
